DATE,UNRATE,LNS14000006,LNS14000009,LNS14000003,LNU04032183
2010-04-01,9.6333333333333333,15.7666666666666667,12.2666666666666667,8.7666666666666667,7.3333333333333333
2010-07-01,9.4666666666666667,15.8333333333333333,12.1666666666666667,8.5666666666666667,7.2666666666666667
2010-10-01,9.5000000000000000,15.7666666666666667,12.7000000000000000,8.6666666666666667,7.3000000000000000
2011-01-01,9.0333333333333333,15.7000000000000000,11.9000000000000000,8.0666666666666667,6.9333333333333333
2011-04-01,9.0666666666666667,16.3333333333333333,11.6666666666666667,8.0333333333333333,6.7333333333333333
2011-07-01,9.0000000000000000,16.0666666666666667,11.2000000000000000,7.9333333333333333,7.5333333333333333
2011-10-01,8.6333333333333333,15.2000000000000000,11.2000000000000000,7.7000000000000000,6.8666666666666667
2012-01-01,8.2666666666666667,13.8666666666666667,10.7333333333333333,7.3666666666666667,6.4000000000000000
2012-04-01,8.2000000000000000,13.7666666666666667,10.7000000000000000,7.3666666666666667,5.5666666666666667
2012-07-01,8.0333333333333333,13.8666666666666667,10.0000000000000000,7.1666666666666667,5.6333333333333333
2012-10-01,7.8000000000000000,13.8000000000000000,9.8333333333333333,6.8666666666666667,5.9666666666666667
2013-01-01,7.7333333333333333,13.5000000000000000,9.5666666666666667,6.8666666666666667,5.8666666666666667
2013-04-01,7.5333333333333333,13.6333333333333333,9.0333333333333333,6.6666666666666667,4.8000000000000000
2013-07-01,7.2333333333333333,12.8000000000000000,9.1333333333333333,6.4000000000000000,5.3666666666666667
2013-10-01,6.9333333333333333,12.3333333333333333,8.7000000000000000,6.1000000000000000,4.8666666666666667
2014-01-01,6.6666666666666667,12.0000000000000000,8.1333333333333333,5.7666666666666667,5.4000000000000000
2014-04-01,6.2000000000000000,11.3333333333333333,7.5666666666666667,5.3333333333333333,5.3666666666666667
2014-07-01,6.0666666666666667,11.3333333333333333,7.3000000000000000,5.2333333333333333,4.4333333333333333
2014-10-01,5.7000000000000000,10.7000000000000000,6.6000000000000000,4.8666666666666667,4.6666666666666667
2015-01-01,5.5333333333333333,10.1000000000000000,6.7666666666666667,4.8000000000000000,3.7666666666666667
2015-04-01,5.4333333333333333,9.9000000000000000,6.7666666666666667,4.7000000000000000,4.0666666666666667
2015-07-01,5.1000000000000000,9.2666666666666667,6.5666666666666667,4.4333333333333333,3.7000000000000000
2015-10-01,5.0333333333333333,8.9666666666666667,6.3000000000000000,4.4000000000000000,3.8000000000000000
2016-01-01,4.9333333333333333,8.7000000000000000,5.5666666666666667,4.2666666666666667,3.8333333333333333
2016-04-01,4.9000000000000000,8.6000000000000000,5.8666666666666667,4.3000000000000000,3.7333333333333333
2016-07-01,4.9000000000000000,8.3000000000000000,5.8333333333333333,4.3000000000000000,4.0333333333333333
2016-10-01,4.7666666666666667,8.1333333333333333,5.8333333333333333,4.2666666666666667,2.9666666666666667
2017-01-01,4.5666666666666667,7.7666666666666667,5.4333333333333333,4.0333333333333333,3.5000000000000000
2017-04-01,4.3666666666666667,7.5666666666666667,5.0666666666666667,3.8333333333333333,3.4666666666666667
2017-07-01,4.3000000000000000,7.4333333333333333,5.1333333333333333,3.7333333333333333,3.8333333333333333
2017-10-01,4.1333333333333333,7.1666666666666667,4.9000000000000000,3.6333333333333333,2.7666666666666667
2018-01-01,4.0666666666666667,7.0000000000000000,4.9666666666666667,3.6000000000000000,3.0333333333333333
2018-04-01,3.9333333333333333,6.2666666666666667,4.7333333333333333,3.5333333333333333,2.7000000000000000
2018-07-01,3.7666666666666667,6.3666666666666667,4.5666666666666667,3.3333333333333333,3.2666666666666667
2018-10-01,3.8000000000000000,6.3333333333333333,4.4333333333333333,3.3666666666666667,2.9666666666666667
2019-01-01,3.8666666666666667,6.7666666666666667,4.6000000000000000,3.4000000000000000,3.1333333333333333
2019-04-01,3.6333333333333333,6.2666666666666667,4.2333333333333333,3.2333333333333333,2.2333333333333333
2019-07-01,3.6333333333333333,5.6000000000000000,4.2000000000000000,3.3000000000000000,2.7666666666666667
2019-10-01,3.5333333333333333,5.6666666666666667,4.1666666666666667,3.2000000000000000,2.6000000000000000
2020-01-01,3.8333333333333333,6.1666666666666667,4.9000000000000000,3.4000000000000000,3.2666666666666667
2020-04-01,13.0333333333333333,16.3000000000000000,17.0000000000000000,12.2333333333333333,14.3333333333333333
2020-07-01,8.8333333333333333,13.2333333333333333,11.2333333333333333,7.8333333333333333,10.5666666666666667
